params,DeepDataDepthAnomalyDetector
"('MVTec-AD_hazelnut', 0.0, 1)",0.6019870044260288
"('MVTec-AD_hazelnut', 0.01, 1)",
"('MVTec-AD_hazelnut', 0.05, 1)",
"('MVTec-AD_hazelnut', 0.1, 1)",
"('MVTec-AD_hazelnut', 0.25, 1)",
"('MVTec-AD_hazelnut', 0.5, 1)",
"('MVTec-AD_hazelnut', 0.75, 1)",
"('MVTec-AD_hazelnut', 1.0, 1)",
"('45_wine', 0.0, 1)",0.7877884162611835
"('45_wine', 0.01, 1)",
"('45_wine', 0.05, 1)",
"('45_wine', 0.1, 1)",
"('45_wine', 0.25, 1)",
"('45_wine', 0.5, 1)",
"('45_wine', 0.75, 1)",
"('45_wine', 1.0, 1)",
"('39_vertebral', 0.0, 1)",0.3619360805672593
"('39_vertebral', 0.01, 1)",
"('39_vertebral', 0.05, 1)",
"('39_vertebral', 0.1, 1)",
"('39_vertebral', 0.25, 1)",
"('39_vertebral', 0.5, 1)",
"('39_vertebral', 0.75, 1)",
"('39_vertebral', 1.0, 1)",
"('46_WPBC', 0.0, 1)",0.4584551656920078
"('46_WPBC', 0.01, 1)",
"('46_WPBC', 0.05, 1)",
"('46_WPBC', 0.1, 1)",
"('46_WPBC', 0.25, 1)",
"('46_WPBC', 0.5, 1)",
"('46_WPBC', 0.75, 1)",
"('46_WPBC', 1.0, 1)",
"('37_Stamps', 0.0, 1)",0.9215845882512549
"('37_Stamps', 0.01, 1)",
"('37_Stamps', 0.05, 1)",
"('37_Stamps', 0.1, 1)",
"('37_Stamps', 0.25, 1)",
"('37_Stamps', 0.5, 1)",
"('37_Stamps', 0.75, 1)",
"('37_Stamps', 1.0, 1)",
"('4_breastw', 0.0, 1)",0.9750294348508634
"('4_breastw', 0.01, 1)",
"('4_breastw', 0.05, 1)",
"('4_breastw', 0.1, 1)",
"('4_breastw', 0.25, 1)",
"('4_breastw', 0.5, 1)",
"('4_breastw', 0.75, 1)",
"('4_breastw', 1.0, 1)",
"('20news_3', 0.0, 1)",0.6553819444444445
"('20news_3', 0.01, 1)",
"('20news_3', 0.05, 1)",
"('20news_3', 0.1, 1)",
"('20news_3', 0.25, 1)",
"('20news_3', 0.5, 1)",
"('20news_3', 0.75, 1)",
"('20news_3', 1.0, 1)",
"('MVTec-AD_grid', 0.0, 1)",0.5657934357121349
"('MVTec-AD_grid', 0.01, 1)",
"('MVTec-AD_grid', 0.05, 1)",
"('MVTec-AD_grid', 0.1, 1)",
"('MVTec-AD_grid', 0.25, 1)",
"('MVTec-AD_grid', 0.5, 1)",
"('MVTec-AD_grid', 0.75, 1)",
"('MVTec-AD_grid', 1.0, 1)",
"('MVTec-AD_zipper', 0.0, 1)",0.8183395551816606
"('MVTec-AD_zipper', 0.01, 1)",
"('MVTec-AD_zipper', 0.05, 1)",
"('MVTec-AD_zipper', 0.1, 1)",
"('MVTec-AD_zipper', 0.25, 1)",
